name,blurb,michelin_award,city,country,lat,lon,image,chef,cuisine1,cuisine2,url,url2
8 1/2 Otto e Mezzo - Bombana,The Macau outpost of the award-winning establishment is now,ONE_STAR,Macau,Macau,22.1465088,113.5553965,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/38914feb-0f81-4e61-846e-db32c330e26f.jpg,,Italian,,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/8-1-2-otto-e-mezzo-bombana,https://guide.michelin.com/en/macau-region/macau/restaurant/8-1-2-otto-e-mezzo-bombana
8 ½ Otto e Mezzo Bombana,The third restaurant under the aegis of chef Umberto Bombana,TWO_STARS,Shanghai,China Mainland,31.244394,121.48346,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/01684d60-1f58-4860-86ad-d6d309b344a7.jpg,,Italian,,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/8-%C2%BD-otto-e-mezzo-bombana,
80/20,"When 80/20 opened, the name marked the ratio of",ONE_STAR,Bangkok,Thailand,13.7311121,100.5154966,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/07926f42593b440ba4844938977d082f,,Innovative,,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/80-20,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/80-20
A Casa di Ma,"Lumio, a village in Upper Corsica bathed in light and",ONE_STAR,Lumio,France,42.5811346,8.8319727,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8ed79816-dcc3-4d86-9458-5c781d87ac4d.jpg,Romain Roland,Creative,,https://guide.michelin.com/en/corse/lumio/restaurant/a-casa-di-ma,https://guide.michelin.com/en/corse/lumio/restaurant/a-casa-di-ma
A Cozinha,"A pleasant surprise, both in terms of its discreet and",ONE_STAR,Guimaraes,Portugal,41.4429053,-8.2941256,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/698e4add-d2c5-46bb-a4f8-12a19808a441.jpg,António Loureiro,Modern Cuisine,,https://guide.michelin.com/en/braga-region/guimares/restaurant/a-cozinha,https://guide.michelin.com/en/braga-region/guimares/restaurant/a-cozinha
A Cut,"After a makeover, this well-known steakhouse re-opened in",ONE_STAR,Taipei,Taipei & Taichung,25.05666,121.52288,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8b289813-3fc3-413b-b7c0-e1732ac78d51.jpg,,Steakhouse,,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/a-cut,https://guide.michelin.com/en/taipei-region/taipei/restaurant/a-cut
A Tafona,An informal restaurant full of contrasts featuring a combination of,ONE_STAR,Santiago de Compostela,Spain,42.880744,-8.5402512,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/992535fc18dc4cae80cac337de60513a,Lucía Freitas Rodríguez,Modern Cuisine,,https://guide.michelin.com/en/galicia/santiago-de-compostela/restaurant/a-tafona,https://guide.michelin.com/en/galicia/santiago-de-compostela/restaurant/a-tafona
A Ver Tavira,Located on a hill leading up to the Moorish castle,ONE_STAR,Tavira,Portugal,37.12565,-7.651429,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/79f9cf87-ef26-4639-8c2d-7394c60ed406.jpg,Luís Brito,Modern Cuisine,,https://guide.michelin.com/en/faro-region/tavira/restaurant/a-ver-tavira,https://guide.michelin.com/en/faro-region/tavira/restaurant/a-ver-tavira
A'Barra,"Both the decor, featuring a profusion of high - quality wood",ONE_STAR,Madrid,Spain,40.438683,-3.687633,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/345d9c3245ca4a98b799b3f9a296b1b8,Sergio Manzano,International,,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/a-barra,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/a-barra
A. Wong,Andrew Wong’s inspiration comes from his travels through the,TWO_STARS,London,United Kingdom,51.4930091,-0.1406558,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/28f935589cb441b0bd09449d203c25c1,Andrew Wong,Chinese,,https://guide.michelin.com/gb/en/greater-london/london/restaurant/a-wong,https://guide.michelin.com/en/greater-london/london/restaurant/a-wong
AALTO,"Some 12 years after opening Iyo in Sempione, the first",ONE_STAR,Milan,Italy,45.4822057,9.1932579,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/f6acd922853140d1a452c2e214fe8f61,Takeshi Iwai,Asian Contemporary,Modern Cuisine,https://guide.michelin.com/en/lombardia/milano/restaurant/aalto,https://guide.michelin.com/en/lombardia/milano/restaurant/aalto
ABaC,"Discover the unique culinary vision of the bold, media-friendly",THREE_STARS,Barcelona,Spain,41.4103822,2.1367664,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/b4dab01237084610b3a55c3fb7e69768,Jordi Cruz Mas,Creative,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac
AIRrepublic,AIRrepublic is a sensational restaurant housed in a sleek building,ONE_STAR,Cadzand,Netherlands,51.3785225,3.3821877,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/44b6a8a7119d4bbeb238b6b6603eacd6,Nicolas Misera Wentein,Seafood,Modern Cuisine,https://guide.michelin.com/en/zeeland/cadzand/restaurant/airrepublic,https://guide.michelin.com/en/zeeland/cadzand/restaurant/airrepublic
ALTER EGO,"“Alter Ego” refers to chef Hirayama, right-hand man",ONE_STAR,Tokyo,Japan,35.696299,139.7570936,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/533018ca-874c-489e-a444-811982f218a7.jpg,Hidehito HIRAYAMA,Italian,,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/alter-ego,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/alter-ego
AM par Alexandre Mazzia,"In this chic and residential area of Marseille, the talented",THREE_STARS,Marseille,France,43.2701104,5.3862325,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/22b19109f3474a2d94cc3d7b804b9675,Alexandre Mazzia,Creative,,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia
APRON,You will find this classic yet modern restaurant not far,ONE_STAR,Vienna,Austria,48.199514,16.3767832,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a3091d37-ad8e-4e4a-9ec9-d0205fad5551.jpg,Stefan Speiser,Creative,Seasonal Cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/apron,https://guide.michelin.com/en/vienna/wien/restaurant/apron
ARIA,A taste of Sicily in the heart of Naples! Chef,ONE_STAR,Naples,Italy,40.8433646,14.2540383,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/e969ac6236e4418e8e31f75d108b7918,,Contemporary,Modern Cuisine,https://guide.michelin.com/en/campania/napoli/restaurant/aria-1197785,https://guide.michelin.com/en/campania/napoli/restaurant/aria-1197785
ARTEST - Chef's Table,"Artest was created by Arkady Novikov, who already owns dozens",TWO_STARS,Moscow,Россия,55.7544209,37.586567,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/47fc9491-0ab6-4088-99f6-9463c41f898c.jpg,Artem Estafiev,Creative,Russian,https://guide.michelin.com/ru/en/moscow-region/moscow/restaurant/artest-chef-s-table,https://guide.michelin.com/en/moscow-region/moscow/restaurant/artest-chef-s-table
ASAHINA Gastronome,"Satoru Asahina focuses on creating light dishes, prizing the classic",TWO_STARS,Tokyo,Japan,35.682829,139.779307,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/bc25d498-50de-4540-b02d-7779b2226a64.jpg,Satoru ASAHINA,French,,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/asahina-gastronome,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/asahina-gastronome
AUGUST,Christian Grünwald has a distinct style that is all his,TWO_STARS,Augsburg,Germany,48.3710103,10.9126019,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/5c62019cf34f4c2faf07c2e09c8e3b7a,Christian Grünwald,Creative,,https://guide.michelin.com/en/bayern/augsburg/restaurant/august495065,https://guide.michelin.com/en/bayern/augsburg/restaurant/august495065
Aaharn,Bright yellow walls and modern art may not say much,ONE_STAR,Hong Kong,Hong Kong,22.2816498,114.1538558,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/dbe1fb64-991d-46bc-81c6-8dcb11760f22.jpg,,Thai,,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/aaharn,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/aaharn
Aan de Poel,The view over De Poel lake is simply stunning. The,TWO_STARS,Amstelveen,Netherlands,52.2997964,4.8447563,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/bde2d11e-8579-4906-b978-8ef83ff9f589.jpg,Stefan van Sprang,Creative,,https://guide.michelin.com/en/noord-holland/amstelveen/restaurant/aan-de-poel,https://guide.michelin.com/en/noord-holland/amstelveen/restaurant/aan-de-poel
Aan de Zweth,Aan de Zweth is a haven of calm between Rotterdam,ONE_STAR,Schipluiden,Netherlands,51.9627541,4.3938251,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d6562ea0795042b28369c6845f25ba46,Joris Peters,Modern French,,https://guide.michelin.com/en/zuid-holland/schipluiden/restaurant/aan-de-zweth,https://guide.michelin.com/en/zuid-holland/schipluiden/restaurant/aan-de-zweth
Abama Kabuki,"Situated in the golf club’s Casa Club, this restaurant",ONE_STAR,Guía de Isora,Spain,28.1706934,-16.7939375,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/2b9008da7743456b9dbaaa3236e69540,,Japanese,,https://guide.michelin.com/en/canarias/gua-de-isora/restaurant/abama-kabuki,https://guide.michelin.com/en/canarias/gua-de-isora/restaurant/abama-kabuki
Abantal,Andalucian cuisine with a cutting edge. Individual personality shines through,ONE_STAR,Seville,Spain,37.3878998,-5.9836581,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/fc9fc00d918c45b4a185a155739199fc,Julio Fernández Quintero,Creative,,https://guide.michelin.com/en/andalucia/sevilla/restaurant/abantal,https://guide.michelin.com/en/andalucia/sevilla/restaurant/abantal
Abbruzzino,The elegant and welcoming Abbruzzino is still a good choice,ONE_STAR,Catanzaro,Italy,38.8901852,16.6236902,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/e445654486714b95933ebeed14bcd3ec,Luca Abbruzzino,Modern Cuisine,,https://guide.michelin.com/en/calabria/catanzaro/restaurant/abbruzzino,https://guide.michelin.com/en/calabria/catanzaro/restaurant/abbruzzino
Abocar Due Cucine,"Abocar (the word is Spanish for ""to get closer"") demonstrates",ONE_STAR,Rimini,Italy,44.0626895,12.5663487,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/a12db49cfc5541c98a7ff211508f11f2,Mariano Guardianelli,Modern Cuisine,,https://guide.michelin.com/en/emilia-romagna/rimini/restaurant/abocar-due-cucine,https://guide.michelin.com/en/emilia-romagna/rimini/restaurant/abocar-due-cucine
Abri,Following in the footsteps of the Japanese chefs who set,ONE_STAR,Paris,France,48.877819,2.3492225,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/46e3a67aba1445229e5031ef5c85f8cb,Katsuaki Okiyama,Modern Cuisine,,https://guide.michelin.com/en/ile-de-france/paris/restaurant/abri,https://guide.michelin.com/en/ile-de-france/paris/restaurant/abri
Accents Table Bourse,"This place close to the Bourse, run by a Japanese",ONE_STAR,Paris,France,48.8699134,2.3404253,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/58bb034b-1c0b-45d0-a748-0903cb94fa66.jpg,Romain Mahi,Modern Cuisine,,https://guide.michelin.com/en/ile-de-france/paris/restaurant/accents-table-bourse,https://guide.michelin.com/en/ile-de-france/paris/restaurant/accents-table-bourse
Accursio,"Original, creative and colourful cuisine served in a restaurant with",ONE_STAR,Modica,Italy,36.8599639,14.7606251,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/612864a726c54dc199c9472d56f72a7f,Accursio Craparo,Creative,,https://guide.michelin.com/en/sicilia/modica/restaurant/accursio,https://guide.michelin.com/en/sicilia/modica/restaurant/accursio
Acqua Pazza,"Having recently moved premises, Acqua Pazza now boasts a new",ONE_STAR,Ponza,Italy,40.8950712,12.9672021,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d2bde44b48864b7c97080fa253720ab7,Patrizia Ronca,Seafood,,https://guide.michelin.com/en/lazio/ponza/restaurant/acqua-pazza-1192022,https://guide.michelin.com/en/lazio/ponza/restaurant/acqua-pazza-1192022
